01/03/2015, $13000, $532732, Yes, No
01/05/2015, $23000, $123134, Yes, No
01/11/2015, $53000, $421845, No, Yes
01/03/2016, $12000, $532732, Yes, No
01/05/2016, $63000, $123134, Yes, No
01/11/2016, $12000, $421845, No, Yes
01/03/2017, $74000, $532732, Yes, No
01/05/2017, $12000, $123134, Yes, No
01/11/2017, $63000, $421845, No, Yes
01/03/2015, $13000, $532732, Yes, No
01/05/2015, $23000, $123134, Yes, No
01/11/2015, $53000, $421845, No, Yes
01/03/2016, $12000, $532732, Yes, No
01/05/2016, $63000, $123134, Yes, No
01/11/2016, $12000, $421845, No, Yes
01/03/2017, $74000, $532732, Yes, No
01/05/2017, $12000, $123134, Yes, No
01/11/2017, $63000, $421845, No, Yes
01/03/2015, $13000, $532732, Yes, No
01/05/2015, $23000, $123134, Yes, No
01/11/2015, $53000, $421845, No, Yes
01/03/2016, $12000, $532732, Yes, No
01/05/2016, $63000, $123134, Yes, No
01/11/2016, $12000, $421845, No, Yes
01/03/2017, $74000, $532732, Yes, No
01/05/2017, $12000, $123134, Yes, No
01/11/2017, $63000, $421845, No, Yes
